,URL_ID,URL,count,sentences,Syllable,fog_index,Complex_word,Complex_word_percent,average_sentence_length,average_word_length,Personal_Pronouns,Polarity,Subjectivity,Positive_scores,Negative_scores
0,37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,12138,79,3170,14.67,500,4.119294776734224,22.753246753246753,5.92865296803653,['us'],0.13693643937761585,0.46336424033482865,0.144,0.044
1,38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,8475,78,2143,10.87,240,2.831858407079646,18.661971830985916,5.07163323782235,"['we', 'us', 'us', 'i', 'us', 'we', 'we']",0.07469251007613077,0.43359613375130607,0.146,0.077
2,39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,11083,85,2954,13.2,399,3.60010827393305,19.647058823529413,5.637125748502994,"['We', 'us', 'us']",0.11223846842812361,0.48584333482609343,0.071,0.037
3,40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,9762,94,2530,10.24,273,2.796558082360172,19.481927710843372,5.037724180581323,"['us', 'we', 'us', 'we', 'we', 'we', 'we', 'we', 'we', 'we', 'we', 'we', 'we', 'we', 'we', 'we', 'we']",0.14205028276997975,0.487386691591237,0.142,0.037
4,41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,10711,85,2788,12.35,367,3.426384091121277,20.573170731707318,5.349733254297569,"['us', 'We', 'we', 'we', 'we', 'we', 'us', 'us', 'we', 'we', 'We', 'We', 'us', 'We', 'us', 'us']",0.05317796664120197,0.5103151701239937,0.143,0.048
5,42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,8016,63,2054,12.73,264,3.293413173652695,21.64406779661017,5.277995301487862,"['us', 'I', 'I', 'we', 'we', 'we', 'us', 'I', 'We', 'us', 'I', 'my', 'my', 'we', 'I', 'we', 'we', 'My', 'we', 'we', 'We']",0.12108208858208855,0.4533339508339509,0.162,0.037
6,43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,4573,47,1187,10.38,142,3.10518259348349,15.847826086956522,5.274348422496571,"['we', 'we', 'us', 'us', 'we', 'we', 'we']",0.14694743662134965,0.41690760929891363,0.098,0.027
7,44,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,8475,78,2143,10.87,142,3.10518259348349,15.847826086956522,5.274348422496571,,0.14694743662134965,0.41690760929891363,0.098,0.027
8,45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,4276,37,1079,10.86,118,2.7595884003741813,19.72222222222222,5.023943661971831,"['we', 'we']",0.19017686550737403,0.5664366057671143,0.161,0.053
9,46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,13048,85,3451,14.02,404,3.096259963212753,24.767441860465116,5.126291079812207,"['we', 'I', 'we', 'I', 'We', 'We', 'I', 'we', 'I', 'we', 'us']",0.1685887445887446,0.5311564854898188,0.143,0.046
10,47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,12433,112,3165,10.21,318,2.5577093219657363,16.68695652173913,5.479416362688901,['we'],0.11627650481153669,0.4650923740095715,0.114,0.095
11,48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,7867,58,2056,12.66,261,3.317656031524088,21.163636363636364,5.759450171821306,"['We', 'we', 'we', 'we', 'us', 'us', 'we', 'We', 'us', 'we']",0.11639375561545375,0.41973403169157875,0.13,0.056
12,49,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,7517,83,1947,9.9,240,3.192763070373819,16.397260273972602,5.280701754385965,"['I', 'us', 'us', 'we', 'we', 'we']",0.10607930070203922,0.3785477329687856,0.138,0.054
13,50,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,10041,66,2629,13.57,283,2.818444378049995,20.79746835443038,5.111990261716373,"['I', 'we', 'us', 'we', 'I', 'I', 'us', 'I', 'I', 'my', 'I', 'I', 'I', 'I', 'I', 'us', 'us', 'I', 'I', 'we', 'we', 'us', 'us', 'us', 'we', 'we', 'we', 'we', 'us', 'us', 'we', 'us', 'we']",0.15237808965228322,0.3973464599916211,0.139,0.034
14,51,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,10252,86,2683,11.88,340,3.3164260632071794,19.156626506024097,5.448427672955975,"['we', 'we', 'we', 'we', 'us', 'we', 'we', 'we', 'we', 'we', 'we']",0.06067077536543188,0.4665985096328609,0.162,0.025
